"Market Participant ID","Market Participant Name","Pool Member ID"
"AAUL","Alcan Aluminium Limited",""
"ACCU","M GROUP ENERGY (DATA INSIGHT)",""
"ACEL","Accord Energy Ltd",""
"ACEM","A Coole Electrical Ltd.",""
"ACTA","ACTARIS UK LIMITED",""
"ADAP","Celtpower Ltd","ADAP"
"AENL","Advanced Electricity Networks","AENL"
"AEPD","AES NewEnergy Ltd","AEPD"
"AERO","Aero EV Solutions Limited",""
"AESB","AES Barry Ltd","AESB"
"AESM","AES Smart Metering Ltd",""
"AFPL","AES Fifoots Point Ltd","AFPL"
"AGRN","AGR Networks Ltd",""
"AGSS","amerada.co.uk Ltd","AGSS"
"AHEL","Severn Trent Energy Ltd","AHEL"
"AHGL","Amerada Hess Gas Ltd","AHGL"
"AIDI","Aidien Limited",""
"AIRA","Aira Home UK Ltd",""
"ALAB","SQUARE1 ENERGY LIMTED","ALAB"
"ALAS","ALASKA ENERGY LTD","ALAS"
"ALBU","ALBUQUERQUE ENERGY LIMITED","ALBU"
"ALTI","Co-operative Energy Limited","ALTI"
"AMGD","Amerada Hess Gas (Dom)","AMGD"
"AMMR","Orsis UK (Ltd)",""
"AMPE","Ampere Energy Supply Limited","AMPE"
"AMSL","GB METERING SERVICES LIMITED","AMSL"
"AMSN","Asset Metering System Network",""
"ANGE","Limejump Energy Limited","ANGE"
"ANRG","Abingdon Energy Limited","ANRG"
"APGL","Anglian Power Generators Ltd","APGL"
"AQES","Aquila Energy Supplies Ltd","AQES"
"ARIZ","British Gas Trading Ltd","ARIZ"
"ARRU","British Gas Trading Limited","ARRU"
"ASES","Ascent Energy Services Ltd",""
"ASLH","ASL Holdings Limited","ASLH"
"AURO","Aurora Utilities Limited",""
"AVRO","Octopus Energy Limited","AVRO"
"AXIS","Axis Telecom Ltd","AXIS"
"AXLE","Axle Energy Ltd",""
"AXPO","Axpo UK Limited","AXPO"
"AZAC","Bristol Energy Limited","AZAC"
"BARB","Barbican Power Limited","BARB"
"BARK","Barking Power","BARK"
"BAYS","Bayswater Energy Limited","BAYS"
"BCFC","Octopus Energy Limited","BCFC"
"BELS","Belsize Energy Limited","BELS"
"BERM","British Energy Retail Market","BERM"
"BESL","AI Asset Provider Limited",""
"BETH","Mongoose Energy Supply Limited","BETH"
"BGAS","British Gas Trading Ltd","BGAS"
